Title,Ingredient_ID,Match_Length,Match_Length/Length_Seq_Origional,Seq_Coverage,PDB_Coverage,Score,Expect,Length,Identities_(Percent),Identities,Positives_(Percent),Positives,Gaps_(Percent),Gaps,Organism,Deposited,Pseudo_Stoichiometry,Weight,Atoms,Residues,OPM,Method,PDB_Title,Chains
BSG,271,72,0.62,0.62,0.75,130 bits (327),6.00E-31,96,1,72/72 (100%),1,72/72 (100%),,,Rattus norvegicus,1998-08-24,Homo 12-mer - A12,120945.06,7086,1047,,Composition-based stats,Crystal structure of a SNARE complex involved in synaptic exocytosis at 2.4 A resolution.,4
ALL,125,,,,,,,,,,,,,,,,,,,,,,,
BH,195,462,0.91,0.96,0.96,879 bits (2270),0,481,0.93,431/462 (93%),0.96,448/462 (96%),0.08,9/110 (8%),Homo sapiens,2017-10-07,,197884.17,7778,1749,,Composition-based stats,Structure of the human MHC-I peptide-loading complex.,5
SCHVARTZ,242,321,0.13,0.13,1,521 bits (1342),1.00E-147,322,0.95,307/321 (95%),0.98,317/321 (98%),0,1/315 (0%),Gallus gallus,2004-07-26,,73504.27,5191,644,,Composition-based stats,"Independent Movement, Dimerization and Stability of Tandem Repeats of Chicken Brain alpha-Spectrin",1
BS,89,308,0.12,0.13,1,654 bits (1687),0,308,0.94,291/308 (94%),0.97,300/308 (97%),0.05,7/130 (5%),Homo sapiens,2010-03-17,,37329.55,2468,308,,Composition-based stats,Zinc Induces Structural Reorganization of Gelatin Binding Domain from Human Fibronectin and Affects Collagen Binding,1
SCHVARTZ,255,400,0.16,0.16,1.08,768 bits (1982),0,371,0.92,369/400 (92%),0.92,371/400 (92%),0.07,29/400 (7%),Mus musculus,2009-09-01,,42931.44,2899,371,,Composition-based stats,The Structure of the talin head reveals a novel extended conformation of the FERM domain,1
SCHVARTZ,148,116,0.06,0.06,0.1,1511 bits (3912),0,1184,0.72,847/1166 (72%),0.81,954/1166 (81%),0,10/1166 (0%),Gallus gallus,2001-03-12,,344551.13,16580,3000,,Composition-based stats,Three-dimensional image reconstruction of dephosphorylated smooth muscle heavy meromyosin reveals asymmetry in the interaction between myosin heads and placement of subfragment 2.,3
SCHVARTZ,84,675,0.85,0.85,0.6,1302 bits (3370),0,1121,0.93,628/675 (93%),0.94,635/675 (94%),0.1,71/660 (10%),Homo sapiens,2017-12-31,,2006440.13,116774,14118,,Composition-based stats,Structure of a human cap-dependent 48S translation pre-initiation complex.,47
SCHVARTZ,129,383,0.23,0.23,0.99,741 bits (1913),0,387,0.98,378/383 (98%),0.99,381/383 (99%),0.07,13/185 (7%),Homo sapiens,2008-11-18,,44657.16,3044,387,,Composition-based stats,Crystal structure of the GTPase-activating protein-related domain from IQGAP1.,1
SCHVARTZ,57,163,0.1,0.1,0.1,3288 bits (8525),0,1630,0.98,1612/1630 (98%),0.99,1614/1630 (99%),0.08,10/124 (8%),Bos taurus,2010-06-17,,1761160,15300,15300,,Composition-based stats,Molecular model for a complete clathrin lattice from electron cryomicroscopy.,2
